competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
100YilMBACubeWeekend2023,f,8,19,0,0,0,0,0,0,0,0,666,0,0,0,0,14.75,14.75,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
10thAnniversaryCervantes2024,c,14,30,2,2,0,0,0,0,2,2,666,4,0,0,4,10.5,10.5,America/Montevideo,Uruguay,2024,True,Final,Final,2023-2026
12SidesofSilesia2018,d,19,41,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Poland,2018,False,Early,First round,2016-2018
12SidesofSilesia2018,f,12,36,2,3,0,0,0,0,2,3,666,5,0,0,5,,,,Poland,2018,True,Final,Final,2016-2018
150thCubeMeetinginBrest2017,c,5,13,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Belarus,2017,True,Final,Final,2016-2018
1AVG2013,f,12,34,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Netherlands,2013,True,Final,Final,2011-2015
1aLordagskubeniVasteras2024,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,13.0,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
1stJorhatOpen2019,c,3,9,0,0,0,0,0,0,0,0,666,0,0,0,0,13.5,13.5,Asia/Kolkata,India,2019,True,Final,Final,2019-2022
24HorasElTambo2024,f,4,12,1,1,0,0,0,0,1,1,666,2,0,0,2,17.0,17.0,America/Guayaquil,Ecuador,2024,True,Final,Final,2023-2026
24HorasemSalvador2024,1,10,28,0,0,0,0,0,0,0,0,666,0,0,0,0,0.9166666666666666,0.75,America/Bahia,Brazil,2024,False,Early,First round,2023-2026
24HorasemSalvador2024,f,5,15,0,0,0,0,0,0,0,0,666,0,0,0,0,6.166666666666667,6.0,America/Bahia,Brazil,2024,True,Final,Final,2023-2026
24HoursWarmUpinAstana2024,c,12,28,0,0,0,0,0,0,0,0,666,0,0,0,0,13.0,13.0,Asia/Almaty,Kazakhstan,2024,True,Final,Final,2023-2026
24HoursinAker2024,c,29,65,0,0,0,0,0,0,0,0,666,0,0,0,0,20.33333333333333,20.25,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
24HoursinFlen2023,c,20,52,0,1,0,0,0,0,0,1,666,1,0,0,1,20.416666666666668,20.25,Europe/Stockholm,Sweden,2023,True,Final,Final,2023-2026
2FTISanDiego2016,c,14,36,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2016,True,Final,Final,2016-2018
2aLordagskubeniVasteras2024,f,10,25,0,0,0,0,0,0,0,0,666,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
2x2at2inPrague2024,c,27,47,0,0,0,0,0,0,0,0,666,0,0,0,0,5.5,5.5,Europe/Prague,Czech Republic,2024,True,Final,Final,2023-2026
2x2inTamakiMakaurau2025,d,24,70,0,0,0,0,0,0,0,0,666,0,0,0,0,8.5,8.5,Pacific/Auckland,New Zealand,2025,False,Early,First round,2023-2026
2x2inTamakiMakaurau2025,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,16.5,16.5,Pacific/Auckland,New Zealand,2025,True,Final,Final,2023-2026
33TrentiniATrento2025,d,28,74,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2025,False,Early,First round,2023-2026
33TrentiniATrento2025,f,21,63,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2025,True,Final,Final,2023-2026
3eLordagskubeniVasteras2024,f,9,26,0,0,0,0,0,0,0,0,666,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
4x4byRoad44Israel2024,c,30,86,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Israel,2024,True,Final,Final,2023-2026
50andCountingIreland2024,c,29,70,0,0,0,0,0,0,0,0,666,0,0,0,0,11.5,11.5,Europe/Dublin,Ireland,2024,True,Final,Final,2023-2026
5thGuwahatiOpen2019,f,4,12,0,0,0,0,0,0,0,0,666,0,0,0,0,11.75,11.75,Asia/Kolkata,India,2019,True,Final,Final,2019-2022
5x5onMadisonIce2023,d,28,72,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2023,False,Early,First round,2023-2026
5x5onMadisonIce2023,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2023,True,Final,Final,2023-2026
625BayArea2017,d,26,60,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2017,False,Early,First round,2016-2018
625BayArea2017,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2017,True,Final,Final,2016-2018
6byRoad6Israel2024,2,14,42,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Israel,2024,False,Early,Second round,2023-2026
6byRoad6Israel2024,d,20,56,1,0,0,0,0,0,1,0,666,1,0,0,1,,,,Israel,2024,False,Early,First round,2023-2026
6byRoad6Israel2024,f,10,30,0,1,0,0,0,0,0,1,666,1,0,0,1,,,,Israel,2024,True,Final,Final,2023-2026
6thGuwahatiOpen2024,c,3,9,0,0,0,0,0,0,0,0,666,0,0,0,0,17.25,17.25,Asia/Kolkata,India,2024,True,Final,Final,2023-2026
6x6StillinaMadisonPark2024,d,24,70,0,0,0,0,0,0,0,0,666,0,0,0,0,11.5,11.5,America/Chicago,USA,2024,False,Early,First round,2023-2026
