competitionId,eventId,round_number,local_hour,timezone,roundTypeId,bin_15min
NewNewYorkNewYear2024,555,1,0.25,America/New_York,d,0.25
ChennaiCubingClubMeetup2023,333,3,0.25,Asia/Kolkata,f,0.25
EretumIV2023,555,1,0.3333333333333333,Europe/Rome,d,0.25
AroundtheClockIsrael2024,444,1,0.6666666666666666,Asia/Jerusalem,d,0.5
24HoursWarmUpinAstana2024,555,1,0.8333333333333334,Asia/Almaty,c,0.75
24HorasemSalvador2024,666,1,0.9166666666666666,America/Bahia,1,0.75
24HorasElTambo2024,333fm,1,1.0,America/Guayaquil,f,1.0
OnnellistaUuttaVuotta2023,666,1,1.25,Europe/Helsinki,d,1.25
Romanian24hChampionship2024,444,2,1.3333333333333333,Europe/Bucharest,f,1.25
EretumIV2023,666,1,1.3333333333333333,Europe/Rome,d,1.25
ClesTooHotForCubing2023,666,1,1.3333333333333333,Europe/Rome,c,1.25
VERKVII2025,333,2,1.4166666666666667,Europe/Helsinki,f,1.25
LeersumAlgs24Hoursin2024,333fm,1,1.5833333333333335,Europe/Amsterdam,f,1.5
UKNewYearCountdown2023,333,2,1.75,Europe/London,f,1.75
KostelecNonstopCubing2023,555,2,1.8333333333333335,Europe/Prague,c,1.75
24HorasemSalvador2024,555,1,1.9166666666666665,America/Bahia,1,1.75
OnnellistaUuttaVuotta2023,333,1,1.9166666666666665,Europe/Helsinki,1,1.75
AroundtheClockIsrael2024,555,2,2.0,Asia/Jerusalem,f,2.0
AlphenTracktoRecords24h2023,333fm,1,2.0,Europe/Amsterdam,f,2.0
Archena24Horas2022,333,2,2.25,Europe/Madrid,2,2.25
WindyCityNewYear2022,555,1,2.25,America/Chicago,f,2.25
24HoursinFlen2023,555,1,2.3333333333333335,Europe/Stockholm,d,2.25
BogotaNoDuerme2024,333,1,2.75,America/Bogota,1,2.75
2x2at2inPrague2024,333,3,2.8333333333333335,Europe/Prague,f,2.75
24HorasemSalvador2024,444,1,3.0,America/Bahia,d,3.0
Archena24Horas2022,444,2,3.0,Europe/Madrid,c,3.0
2x2at2inPrague2024,555,1,3.1666666666666665,Europe/Prague,d,3.0
24HoursinAker2024,333,2,3.25,Europe/Stockholm,f,3.25
ValdiNxN2024,555,2,3.3333333333333335,Europe/Rome,e,3.25
24HorasElTambo2024,444,1,3.3333333333333335,America/Guayaquil,f,3.25
KostelecNonstopCubing2023,666,1,3.5,Europe/Prague,c,3.5
Archena24Horas2022,333fm,1,3.5,Europe/Madrid,f,3.5
24HoursinFlen2023,555,2,3.6666666666666665,Europe/Stockholm,f,3.5
AroundtheClockIsrael2024,333fm,1,3.6666666666666665,Asia/Jerusalem,f,3.5
ClesTooHotForCubing2023,555,1,3.8333333333333335,Europe/Rome,c,3.75
LaLaLand2024,444,1,4.0,America/Los_Angeles,d,4.0
2x2at2inPrague2024,444,1,4.0,Europe/Prague,c,4.0
ValdiNxN2024,666,2,4.166666666666667,Europe/Rome,e,4.0
Welcometo2019,333,2,4.166666666666667,America/Los_Angeles,f,4.0
BarelyAwakeBoulder2024,555,2,4.25,America/Denver,f,4.25
WindyCityNewYear2022,333,2,4.416666666666667,America/Chicago,f,4.25
SleeplessinSelangor2025,666,1,4.5,Asia/Kuching,c,4.5
24HoursinAker2024,444,1,4.5,Europe/Stockholm,d,4.5
24HoursWarmUpinAstana2024,333,2,4.666666666666667,Asia/Almaty,2,4.5
EretumIV2023,444,2,4.833333333333333,Europe/Rome,2,4.75
AlphenTracktoRecords24h2023,333,2,4.916666666666667,Europe/Amsterdam,2,4.75
OnnellistaUuttaVuotta2023,666,2,5.0,Europe/Helsinki,c,5.0
2x2at2inPrague2024,555,2,5.0,Europe/Prague,c,5.0
Brisbanes20in21in2022,333fm,1,5.0,Australia/Brisbane,f,5.0
KostelecNonstopCubing2023,444,1,5.166666666666667,Europe/Prague,d,5.0
CuartoAldeillaOpen2024,333,3,5.166666666666667,Europe/Madrid,f,5.0
SleeplessinSeattle2023,333,2,5.5,America/Los_Angeles,2,5.5
EretumIV2023,333,2,5.5,Europe/Rome,2,5.5
2x2at2inPrague2024,666,1,5.5,Europe/Prague,c,5.5
24HoursinFlen2023,444,1,5.75,Europe/Stockholm,d,5.75
Romanian24hChampionship2024,555,2,5.75,Europe/Bucharest,f,5.75
AroundtheClockIsrael2024,333,2,5.833333333333333,Asia/Jerusalem,2,5.75
Archena24Horas2022,666,1,6.0,Europe/Madrid,c,6.0
OnnellistaUuttaVuotta2023,333,2,6.083333333333333,Europe/Helsinki,f,6.0
24HorasemSalvador2024,666,2,6.166666666666667,America/Bahia,f,6.0
EretumIV2023,666,2,6.333333333333333,Europe/Rome,c,6.25
PerthPuzzleMarathon2022,333fm,1,6.333333333333333,Australia/Perth,f,6.25
24HoursinFlen2023,444,2,6.5,Europe/Stockholm,f,6.5
Romanian24hChampionship2024,666,2,6.5,Europe/Bucharest,f,6.5
24HoursWarmUpinAstana2024,444,2,6.666666666666667,Asia/Almaty,f,6.5
BarelyAwakeBoulder2024,333,2,6.666666666666667,America/Denver,2,6.5
AlphenTracktoRecords24h2023,444,2,6.75,Europe/Amsterdam,f,6.75
GulfOfFinland2022,333,1,6.916666666666667,Europe/Helsinki,1,6.75
SoutheastChampionship2023,666,1,7.0,America/Chicago,d,7.0
EretumIV2023,555,2,7.0,Europe/Rome,f,7.0
SanSilvestreCubeMasters2023,444,1,7.0,America/Bogota,c,7.0
GulfofFinland2024,333,1,7.0,Europe/Helsinki,1,7.0
SleeplessinSelangor2025,555,1,7.0,Asia/Kuching,c,7.0
WCAAfricanChampionship2022,333fm,1,7.0,Africa/Johannesburg,f,7.0
WashingtonChampionship2020,333fm,1,7.0,America/Los_Angeles,f,7.0
PolishSpeedcubingTourBilgora2019,333fm,1,7.0,Europe/Warsaw,f,7.0
ColombianNationals2024,444,2,7.0,America/Bogota,2,7.0
ValdiNxN2024,555,3,7.0,Europe/Rome,f,7.0
AmritaSilenceOpen2022,333fm,1,7.0,Asia/Kolkata,f,7.0
GulfofFinland2023,333,1,7.0,Europe/Helsinki,1,7.0
LaLaLand2024,444,2,7.0,America/Los_Angeles,2,7.0
